DateTime;Media;Category/Gatra;Subcategory;Headline;Detail
202209231600;beritasumut;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Motivasi Para Politisi Perempuan Nawal Ingatkan Soal Pentingnya Wawasan, Pendidikan dan Cerdas Berpolitik;705
202209221800;beritasumut;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Pemerintah Terbitkan SKB Netralitas ASN dalam Pemilu 2024;706
202208191800;beritasumut;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Dedy Rahmayadi Minta Semua Pihak Terkait Pastikan Kesiapan Anggaran dan Data Pemilih;707
202208121700;beritasumut;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;KPU Sumut Serahkan Potensi Data Pemilih Ganda, Gubernur Edy Rahmayadi Dukung Percepatan dan Koordinasi Terkait DPT Pemilu;708
202207051600;beritasumut;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Gubernur dan Ketua KPU Sumut Teken Kerja Sama Pemutakhiran Data Pemilih Berkelanjutan;709
202206131200;beritasumut;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Bobby Nasution Realisasikan Janji Kampanye Bangun Jembatan Titi Dua Sicanang;710
202205061527;sumsel.tribunnews;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Finansial Rumah Tangga Baik, Venna Melinda Ajak Ferry Irawan Terjun ke Politik, Siap Maju Caleg 2024;801
202110250802;sumsel.tribunnews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Ustaz Yusuf Mansur di DPP Partai Golkar : 'Atas Izin Allah Golkar Bisa Jadi Pemenang Pilpres 2024';802
202109041012;sumsel.tribunnews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;PDIP Marah Besar Usai Partai Demokrat Sebut Megawati Gulingkan Gus Dur, Tuntut Minta Maaf;803
202105271532;sumsel.tribunnews;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Rizieq Shihab Marah Besar dan Sakit Hati ke Bima Arya Karena Dianggap Dijadikan Panggung Politik.;804
202105151504;sumsel.tribunnews;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Pesan Luhut Panjaitan ke Mahfud MD yang Penuh Makna, Begini Isinya;805
202105032035;sumsel.tribunnews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Anak Angkat Cristiano Ronaldo, Martunis Kini Pilih Terjun ke Politik Gabung Partai Demokrat;806
202102240238;sumsel.tribunnews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Mengintip 3 Pasangan yang Disebut Bakal Maju di Pilpres 2024 Prabowo-Puan Teratas Kalahkan Anies-AHY;807
202104151912;sumsel.tribunnews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Polemik Dalam Desakan MLB PKB Disebut Berbeda dengan KLB Partai Demokrat, Cak Imin Harus Waspada;808
202104132202;sumsel.tribunnews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Luhut Binsar Minta KPK Tak Jadi Alat Politik dan Kekuasaan;809
202102221206;sumsel.tribunnews;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Anies Baswedan Dinilai Giring Ganesha Tak Mampu Tangani Banjir di Jakarta, Pasha Bela Gubernur DKI;810
202210042235;sumbarsatu;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Nasdem Pasbar Siap Menangkan Anies sebagai Presiden 2024;901
202209302109;Sumbarsatu;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Hasil Pemutakhiran Data, Pemilih di Agam Bertambah 8.217 Orang;902
202209232008;sumbarsatu;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Penda-ftar Jadi Calon Anggota Paswascam di Agam Sampai Hari Kedua Baru 73 Orang;903
